"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Taney","MO","Branson","29","213",6.6711140760507,9.0964220739842,9.3530997304582,9.0960773166571,9.0950432014552,9.0991810737033,9.0960773166571,9.3324692158133,9.4123183716689,9.375,9.8196392785571,9.8196392785571,8.695652173913,8.8888888888888,8.6585365853658,8.3402835696413,8.3673469387755,8.0459770114942,8.0032012805122,8.3356487913309,7.7220077220077,8.0032012805122,8.0032012805122,8.8353413654618,8.6021505376344,8.0160320641282,7.6982294072363,7.6086956521739,8.2568807339449,8.3910700538876,7.2715143428952,7.3731011485735,7.3731011485735,7.4374577417173,7.7041602465331,7.7041602465331,7.3333333333333,8,6.5618909135909,6.2578222778473,6.6187050359712,6.2311557788944,6.471663619744,6.6711140760507,6.8458781362007,6.4359113034072,6.6667555567407,5.9406231801363,6
"Franklin","NY","Malone","36","033",,9.7752525252525,10.5058365758754,10.5058365758754,10.062893081761,10.062893081761,11.1111111111111,9.8873591989987,11.9402985074626,12,15.04,13.3779264214046,13.3779264214046,15.9090909090909,8,7.0100143061516,9.0336134453781,8.3333333333333,8.4905660377358,8.9253187613843,9.2307692307692,9.6385542168674,9.6385542168674,8.440366972477,8.2758620689655,8.3910700538876,9.1818181818181,9.9639855942376,7.6190476190476,7.6190476190476,8.5714285714285,8.3333333333333,8.5213032581453,8.347245409015,7.0175438596491,8.0064051240992,7.8125,7.7041602465331,7.1479628305932,9.090909090909,8,6.6730219256434,7.3842302878598,7.5471698113207,7.9675994108983,8.347245409015,8.3333333333333,7.6271186440677,7.6271186440677
"Winona","MN","Winona","27","169",,5.005005005005,5.0721265704979,5.6730273336771,5.889281507656,5.5658627087198,5.5658627087198,4.6700507614213,4.5506257110352,5.0035739814152,4.8412698412698,4.9756625202812,5.0035739814152,4.478656403079,4.478656403079,4.880429477794,4.7641734159123,4.9777777777777,5.0025012506253,5.289492494639,5.1890289103039,5.2687038988408,5.005005005005,4.9049049049049,5.5617352614015,5.3846153846153,5.0025012506253,4.1152263374485,4.7694753577106,5.21327014218,5.3887605850654,5.5586436909394,5.5586436909394,5.4399415845198,4.4666666666666,4.7732696897374,5.50305725403,5.8517034068136,5.5586436909394,4.6052631578947,4.3516100957354,4.3555032371983,4.5222929936305,4.4614404079031,4.8325358851674,4.5495905368516,4.3497172683775,4.5495905368516,3.8476337052712
"Worcester","MD","Ocean Pines","24","047",7.183212267958,8,8.133719399842,8.5106382978723,8.6809087826381,8.5795996186844,8.6971647242998,7.8968149513029,7.7230769230769,7.5101912825337,7.1530758226037,7.5101912825337,7.4101519081141,6.9930069930069,6.8604097189137,6.8212824010914,6.677796327212,6.5554072096128,6.5014133507284,6.6933333333333,6.5217391304347,6.3627096774193,6.3990766863298,6.7415730337078,6.5247663119157,6.2630480167014,6.253908692933,6.1198069907026,6.1198069907026,6.1249489587586,5.8846606512357,5.6790673189949,5.4589371980676,5.219660722053,5.5586436909394,5.4054054054054,5.8858151854031,5.4205165514732,5.2659294365455,5.1308363263211,5.0495252476262,4.9342731948942,5.2525252525252,5.1282051282051,5.0251256281407,4.9115913555992,5.079365079365,5.1530993278566,4.7641734159123
"Jefferson","TN","Morristown","47","089",,9.0950432014552,8.3333333333333,6.5231572080887,7.1530758226037,6.9799906933457,6.9013112491373,6.7875716762234,6.6933333333333,6.2513023546572,6.5040650406504,6.5040650406504,6.5040650406504,6.2666041568995,5.5586436909394,6.0589216231239,6.546762589928,7.0232558139534,7.5808936825885,7.0232558139534,7.0698088039128,7.0698088039128,7.1479628305932,6.6675556740898,6.1632653061224,5.889281507656,6.0024009603841,6,6.0589216231239,5.8858151854031,6.5888240200166,6.4516129032258,6.4516129032258,6.4516129032258,6.6688896298766,6.6711140760507,6.0642813826561,5.7832744405182,5.2687038988408,5.3285968028419,5.7773851590106,5.8997050147492,6.4044943820224,6.269592476489,6.6666666666666,6.2515628907226,5.8858151854031,6.2109212171738,6.253908692933
"La Plata","CO","Durango","08","067",6.4803226255041,7.5651442981227,7.5235109717868,8.0160320641282,7.7572793954212,8.3531409168081,8.0160320641282,8.5227272727272,8.4716900808854,7.7230769230769,8.0267558528428,7.7519379844961,7.1556350626118,6.8989306657468,6.5554072096128,6.258931123178,6.258931123178,6.2893081761006,6.6675556740898,7.0351758793969,6.269592476489,6.7796610169491,7.6923076923076,7.877094972067,7.7310924369747,7.4101519081141,7.1530758226037,6.5554072096128,6.4516129032258,6.1189358372456,6.2893081761006,5.9058823529411,6.4705882352941,7.0100143061516,6.0022650056625,6.6681484774394,6.0422960725075,5.8823529411764,5.2380952380952,5.5865921787709,5.5293136982495,5.5293136982495,6.0396893874029,5.8102766798418,5.5865921787709,5.2631578947368,4.946996466431,4.810583283223,4.4125758411472
"Grant","WI","Platteville","55","043",,7.0351758793969,7.6923076923076,8.1803005008347,7.6923076923076,7.6923076923076,7.2847682119205,6.9204152249134,6.8181818181818,6.6675556740898,6.0790273556231,8,6.7708333333333,7.7041602465331,7.0588235294117,6.7114093959731,6.7114093959731,6.7114093959731,7.0100143061516,7.7912794853466,7.3170731707317,8.5447263017356,8.8607594936708,7.1942446043165,7.0588235294117,6.25,5.8381984987489,6.1073825503355,6.1073825503355,6.1073825503355,5.8858151854031,7.6982294072363,7.8229229836264,7.6163610719322,6.5502183406113,7.6271186440677,5.7398630858346,6,5.7224606580829,5.7398630858346,5.9523809523809,6.0240963855421,5.801305293691,5.6179775280898,5.320280910832,6.5888240200166,6.4755395683453,5.5068836045056,5.5068836045056
"Hood","TX","Granbury","48","221",5.8858151854031,6.7961165048543,6.8817204301075,7.1462601238685,7.4074074074074,7.2715143428952,7.0588235294117,6.6666666666666,6.6666666666666,6.2052505966587,6.1486486486486,6.1486486486486,5.2015604681404,5.008347245409,5.6547619047619,6,6.1326658322903,6.2519537355423,6.1913696060037,6.1913696060037,5.3684210526315,5.6666666666666,5.7398630858346,5.4068667207353,5.3157894736842,4.9180327868852,5.3887605850654,5.1761517615176,5.2631578947368,5.5586436909394,5.6850483229107,5.6501757231684,4.9995249976249,4.9618320610687,4.6497939964685,4.5454545454545,4.6513430753129,4.8677248677248,4.3478260869565,4.1684035014589,4.1414141414141,4.5454545454545,4.8809523809523,4.8442906574394,4.5871559633027,4.8780487804878,4.7796863330843,4.7619047619047,4.88
"Washington","MS","Greenville","28","151",,8.5959885386819,8.5959885386819,9.6491228070175,10,11.2233445566778,9.4666666666666,9.0073529411764,8.1538461538461,7.2715143428952,10.576923076923,10.576923076923,12.4561403508771,10.0719424460431,7.5757575757575,7.8313253012048,7.8313253012048,8.3870967741935,8.284023668639,8.284023668639,8.284023668639,7.8125,6.8421052631578,6.8421052631578,6.4102564102564,6.4102564102564,8.2051282051282,8.2051282051282,10.2,13.6363636363636,12.9090909090909,7.473841554559,7.0175438596491,10,10,11.1111111111111,12.0481927710843,12.6213592233009,10.7317073170731,10,9.6907216494845,7.6923076923076,5.5586436909394,7.391304347826,5.4263565891472,5.5586436909394,7.4074074074074,10.0456621004566,9.3264248704663
"Tioga","NY","Binghamton","36","107",,6.9607843137254,6.253908692933,6.5040650406504,6.7128293902673,6.240668856375,6.3829787234042,6.692607003891,6.2597809076682,6.4724919093851,6.4724919093851,6.441717791411,6.1994996873045,5.5977229601518,6.2992125984251,6.2992125984251,6.7796610169491,6.0567823343848,5.5586436909394,5.8454295802275,6.25,6,7.1479628305932,6.4620355411954,5.2980132450331,5.2469135802469,5.1477597712106,5.1477597712106,6.253908692933,6.253908692933,6.6711140760507,6.6711140760507,5.9523809523809,5.2659294365455,6.060606060606,5.7183702644746,5.7183702644746,6.2893081761006,6.0022650056625,5.9171597633136,6.2578222778473,6.081081081081,6.0597274572339,6.068376068376,5.6111111111111,5.9365501519756,5.9365501519756,6.060606060606,6.2488281103513
