"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Rio Grande","CO",,"08","105",23.4043,26.3006,24.7956,23.6074,21.5116,21.6828,18.3746,15.5738,14.2857,16.2963,13.0435,19.1571,20.7547,28.6765,30.3571,24.2958,27.305,22.5806,19.2029,18.5654,10.0917,10.9589,8.9888,12.2727,17.8138,20.9964,21.6418,21.4286,19.7842,21.5385,11.3169,9.3506,9.589,9.1743,12.4629,15.8103,13.2075,15.8249,19.0114,22.7941,23.2,15.6051,12.4204,11.5132,12.1212,14.902
"Blaine","OK",,"40","011",30.7692,34.4828,36.3636,30.7692,25,23.5294,29.4118,,33.3333,23.0769,,,9.0909,41.6667,,26.6667,23.8095,27.7778,35,46.6667,46.1538,33.3333,23.0769,35.7143,46.1538,40,42.8571,50,50,,,,,14.2857,7.1429,7.6923,7.6923,30.7692,33.3333,36.3636,28.5714,28.5714,25,,,
"Grant","WV",,"54","023",23.4568,25.6098,28.2051,28.0488,24.7059,22.4719,22.093,18.5185,13.4831,14,9.2784,21.6216,19.2308,25.6098,28.3582,22.5352,25.7143,20.5882,20,18.5714,14.4928,17.9487,16.25,19.1781,27.1429,23.2877,22.5,31.0811,32.0988,32.1429,22.7273,13.5802,8.642,20.2703,25,23.9437,24,18.8406,19.5122,16.129,18.8679,21.6667,19.697,11.1111,18.75,17.7215
"Heard","GA","Atlanta","13","149",27.5862,28.2609,30.1205,32.0513,33.7838,29.4872,31.6456,30.137,40.2985,37.8788,26.4368,30.8824,40,34.6667,42.1687,40.2597,44.2857,38.961,32.9268,31.6667,32.2034,30,25.641,28.75,49.2308,45.9016,46.4286,37.5,36.6667,37.037,28.3333,29.1667,27.027,25.7143,35.1351,33.3333,30.2326,27.907,22,21.5686,32.6923,35.7143,26.1538,29.4118,30.6452,25.9259
"Iron","MI",,"26","071",28.0702,31.1615,32.1622,35.2632,34.7258,21.466,18.6813,16.8317,14.9626,14.8225,14.3836,20.21,27.3743,29.4416,24.6154,22.0657,21.4112,18.6404,17.5589,21.3158,13.8743,18.4659,16.9903,18.25,20.5811,21.5278,26.615,26.9923,26.7905,26.7218,21.0784,14.9051,14.8607,11.7057,13.0031,12.3839,15.3846,15.1671,21.9949,24.57,27.0408,23.1959,19.3548,18.1818,15.8055,15.2174
"Chicot","AR",,"05","017",21.4286,25,23.0769,16.6667,,,,33.3333,41.6667,33.3333,18.75,36.3636,33.3333,33.3333,31.25,25,23.5294,25,25,,,,,7.1429,7.1429,,6.6667,8.3333,,,,,,,,,27.2727,33.3333,7.6923,16.6667,50,42.8571,35.7143,41.1765,35.7143,50
"Duval","TX",,"48","131",31.25,37.5,22.2222,22.2222,18.1818,19.0476,18.1818,13.6364,5.2632,8.3333,12,27.7778,27.7778,35,31.5789,19.0476,14.2857,12.5,15,17.6471,15,15,10,13.3333,36.3636,27.2727,,,,,,,,,,,,,,,,,,,,
"Decatur","TN",,"47","039",18.75,19.5,21.8447,16.9014,14.2105,22.7468,21.1454,20.4651,23.2323,15.7205,12.8755,17.4863,23.3918,22.1106,23.6559,22.2826,25.7143,21.5789,18.9055,18.1347,13.9175,17.4603,19.171,22.1053,24.7312,28.1407,27.6042,22.7979,23.5602,21.2766,18.8976,19.8068,18.75,16.3551,20.4444,19.2893,27.2277,26.8041,26.5306,22.2749,24.4792,26.0116,26.3473,25,20.4082,17.0543
"Meigs","TN",,"47","121",25.5102,30.5556,32.7778,30.7692,27.4038,26.5537,26.7857,23.871,18.3099,17.6871,16.6667,25.1852,31.3433,31.6901,35.2941,32.8671,34.2657,28.0822,20.1389,18.1818,12.8205,19.3798,21.8045,24.4444,30.8271,40.6015,38.2353,30.6452,23.1405,24.1379,11.8421,15.3846,18.75,18.0952,23.6111,21.3904,27.8689,29.7297,29.3651,32.8125,30,24.6032,22.9508,25.4545,31.25,24.2991
"Washington","KY",,"21","229",29.2683,17.4603,14.8148,15.3846,22,17.0213,16,14.2857,17.3913,19.3548,19.3548,29.1667,27.7778,17.9104,13.7931,11.3208,19.0476,22.5806,20.6897,28.5714,17.6471,15.3846,17.2414,28,40.9091,23.3333,19.0476,9.8039,14.2857,20.4545,21.4286,35.4839,31.7073,22.2222,22.5806,18.4615,17.1875,18.3099,16.25,23.75,18.9189,20,24,21.9512,19.5122,21.4286
