"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Fluvanna","VA","Charlottesville","51","065",260000,259900,249950,255900,255900,239000,245500,245500,245000,249000,243000,249900,237400,238600,235900,229900,235000,229900,231500,229900,229900,229950,220000,226900,225000,224900,219900,223500,224990,224990,225000,227500,229990,235900,234900,229000,229990,229000,229000,225000,229000,228500,224900,224900,225000,218000,214900,210000,162500,199900,196000,199500,210000,224000,222000,221650,220000,221650,222000,224900,224750,224900,221360,224900,229000
"Adair","MO","Kirksville","29","001",100000,100000,99999,99900,98500,98500,93500,95000,98500,93500,89900,89900,89900,87500,87500,82900,84900,86900,89900,91500,89900,89900,87900,89900,87900,89900,84900,79900,82400,79900,79900,89900,99900,104900,99500,104000,99650,97500,93500,89500,82000,93900,95500,105900,109500,105000,113000,109500,98500,109900,105000,104900,99900,101700,100000,99500,97000,99300,99500,97500,97200,89900,89900,89900,89900
"Lee","VA",,"51","105",125000,112000,125000,112000,112000,125000,110000,99900,69000,110000,139500,139900,144500,139900,139900,139900,139900,144500,80000,52900,72000,75000,75000,78000,78000,78000,79900,78000,78000,79900,75000,79800,99900,99900,103900,109900,94000,94000,92500,95000,89500,94000,99000,99900,109900,84900,99000,120000,134800,189900,165000,149900,120000,120000,99900,120000,125000,149000,139900,103700,99900,99900,99900,99900,98000
"Johnson","AR",,"05","071",109500,107000,107000,99000,107000,102500,99500,101000,103900,97000,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,99900,106900,107000,107000,109900,109000,109000,118500,118500,118500,119900,125000,129900,129900,129000,125000,120000,129900,120000,123000,117000,123000,129000,129000,121500,129900,129000,99900,119900,127900,119900,119900,119900,120000,115500,114900,110000,110000,113000,113000,114900,119900,117000,119900
"Montezuma","CO",,"08","083",279000,284900,289000,279000,275000,275000,265000,259000,260000,256000,254900,254900,249900,249900,249900,247750,245000,235000,238500,239900,239000,238500,237900,239000,239900,239000,229900,229500,237900,236500,239900,239900,239900,235000,235000,229000,229900,230000,215000,210000,199900,199000,199000,225000,228950,225000,215000,219900,179000,185000,187900,172500,169900,196900,219000,219000,230000,229900,229900,225000,229000,232500,225000,199000,199000
"Audrain","MO","Mexico","29","007",99500,97500,99500,99500,95000,96500,89900,89900,98500,98500,95900,89900,84900,80000,79900,79500,78900,78900,75000,79900,86500,89900,89900,99900,105800,110000,100000,109500,114000,110900,108000,102500,109500,99999,99000,92000,89900,84900,84900,84900,85000,84900,88500,87500,85000,82500,85000,79900,75000,79500,74900,69000,72000,74900,79500,82000,79500,79500,77900,82000,82000,82000,79500,79500,79900
"Tattnall","GA",,"13","267",149500,144900,144900,141000,144900,144600,144900,145500,141000,135000,129900,139000,139000,139900,139900,134500,129500,135000,135000,135000,129900,129000,129900,127900,124900,124900,119900,125000,124900,124900,124900,127900,127900,124900,124900,115000,100000,98000,94900,90900,99900,109000,94900,115000,103930,89900,83000,99000,95000,106900,106900,94900,99000,99900,97500,99000,97500,89900,99800,99900,114900,109900,115000,109900,100000
"Seminole","OK",,"40","133",79000,79900,93000,93000,89500,104000,104000,89000,89500,98000,98000,84900,84500,80000,71000,69900,65000,69800,69800,80000,84500,80000,78500,81900,78500,78500,80000,79900,84900,84500,69900,79900,79900,80000,84900,82000,82500,82500,82500,82500,79500,79500,76900,69500,65000,64900,65000,65000,54000,80000,79900,79900,79900,75000,75000,81900,89900,85000,84500,79900,75000,71500,69900,69000,75000
"Shelby","TX",,"48","419",110000,141500,149900,155000,149900,159500,159500,154900,152500,155000,152500,155000,152500,149900,178000,178000,179900,178000,167900,139900,139900,139900,119500,119500,119000,99900,99900,119500,128500,125000,125000,128500,132900,125000,134500,145000,145000,137500,145500,139900,139900,150000,160000,129900,139500,139500,145000,149000,149900,149000,130000,138500,142500,147900,149000,159000,165000,178500,169500,165000,165000,159500,159500,159500,149899
"Meade","SD","Rapid City","46","093",191900,189900,189900,185900,186900,180000,189000,188000,186900,190000,193000,185000,189900,193000,199000,199000,194900,189900,179900,179900,185650,187900,188000,182000,185000,187900,185000,179000,185000,180000,179900,174900,179900,185000,189900,189900,189000,193000,190000,190000,193000,189000,189900,189000,189000,189900,189900,189000,185000,189000,186900,198000,189900,189900,189700,198000,204900,197754,200000,213000,204900,214575,204900,199900,194900
